orig,dest,trips
14093,15933,1.0
14093,13995,1.0
14093,13978,3.0
14093,14025,3.0
14093,18171,1.0
14093,13790,1.0
14093,18411,4.0
14093,14146,6.0
14093,14228,2.0
14093,14023,4.0
14093,13605,4.0
14093,15939,1.0
14093,13544,3.0
14093,16891,2.0
14093,15667,4.0
14093,13594,2.0
14093,17639,3.0
14093,13560,1.0
14093,13559,4.0
14093,13920,1.0
14093,13965,4.0
14093,13986,7.0
14093,13919,4.0
14093,13884,7.0
14093,18170,4.0
14093,15425,8.0
14093,13836,6.0
14093,13953,2.0
14093,13616,3.0
14093,15919,1.0
14093,15457,2.0
14093,13522,1.0
14093,13944,2.0
14093,13819,3.0
14093,13897,4.0
14093,13910,1.0
14093,13898,1.0
14093,13910,2.0
14093,16750,2.0
14093,13532,1.0
14093,17491,1.0
14093,17490,1.0
14093,16130,1.0
14093,14290,2.0
14093,13844,1.0
14093,13685,1.0
14093,16132,1.0
14093,13762,2.0
14093,14057,1.0
14093,13624,1.0
14093,16546,1.0
14093,13530,1.0
14093,13406,2.0
14093,13407,3.0
14093,17056,1.0
14093,13631,1.0
14093,15439,2.0
14093,14020,1.0
14093,17185,2.0
14093,17184,1.0
14093,14237,1.0
14093,14237,1.0
14093,13604,1.0
14093,13604,1.0
14093,16352,2.0
14093,13867,2.0
14093,15385,1.0
14093,13480,1.0
14093,13477,1.0
14093,13946,2.0
14093,15386,1.0
14093,13475,2.0
14093,15290,1.0
14093,3893,1.0
14093,17400,1.0
14093,16836,1.0
14093,13723,3.0
14093,17056,1.0
14093,5864,1.0
14093,5464,2.0
14093,3557,1.0
14093,5395,1.0
14093,4025,1.0
14093,3908,1.0
14093,3928,1.0
14093,6047,1.0
14093,19561,1.0
14093,15030,1.0
14093,15178,1.0
14093,12207,1.0
14093,12359,1.0
14093,17481,1.0
14093,16843,1.0
14093,12579,1.0
14093,12039,1.0
14093,12466,1.0
14093,15716,1.0
14093,17910,1.0
14093,20545,1.0
14093,10874,1.0
14093,10775,1.0
14093,10838,1.0
14093,9549,1.0
14093,9668,1.0
14093,9612,1.0
14093,9754,1.0
14093,6580,2.0
14093,14680,1.0
14093,14704,2.0
14093,17560,1.0
14093,14708,1.0
14093,14519,1.0
14093,14481,1.0
14093,16305,1.0
14093,14614,1.0
14171,16966,1.0
14171,13930,1.0
14171,14171,1.0
14171,14211,1.0
14171,14142,1.0
14171,13990,2.0
14171,13756,1.0
14171,13892,1.0
14171,18136,2.0
14171,14172,1.0
14171,13579,2.0
14171,14125,1.0
14171,14124,1.0
14171,16521,1.0
14171,13873,1.0
14171,13597,2.0
14171,14182,2.0
14171,14048,2.0
14171,13584,1.0
14171,18010,2.0
14171,14084,3.0
14171,15641,1.0
14171,17997,1.0
14171,15368,1.0
14171,13470,1.0
14171,15302,1.0
14171,15301,2.0
14171,14260,3.0
14171,18006,2.0
14171,15451,1.0
14171,13832,2.0
14171,13737,2.0
14171,14025,1.0
14171,13790,2.0
14171,18007,3.0
14171,18411,1.0
14171,13605,2.0
14171,15939,1.0
14171,13544,2.0
14171,15667,3.0
14171,14290,2.0
14171,13560,1.0
14171,13559,3.0
14171,13920,3.0
14171,13965,2.0
14171,13919,1.0
14171,18170,1.0
14171,15425,1.0
14171,13836,1.0
14171,13616,1.0
14171,15457,1.0
14171,13944,1.0
14171,13897,1.0
14171,13910,2.0
14171,13898,1.0
14171,13910,1.0
14171,13532,1.0
14171,13532,1.0
14171,16284,1.0
14171,13560,1.0
14171,17130,1.0
14171,16565,2.0
14171,16132,1.0
14171,13533,1.0
14171,13533,1.0
14171,13406,1.0
14171,15403,1.0
14171,15439,1.0
14171,13379,1.0
14171,13604,2.0
14171,13604,1.0
14171,13477,1.0
14171,17540,1.0
14171,16126,1.0
14171,14343,1.0
14171,16835,1.0
14171,16836,2.0
14171,14333,2.0
14171,3440,1.0
14171,3455,1.0
14171,5611,1.0
14171,5276,1.0
14171,6081,1.0
14171,3824,1.0
14171,30865,1.0
14171,22736,1.0
14171,20106,1.0
14171,19884,1.0
14171,19697,1.0
14171,3266,1.0
14171,18284,1.0
14171,12140,1.0
14171,12444,1.0
14171,12007,1.0
14171,12175,1.0
14171,12039,1.0
14171,12478,1.0
14171,12490,1.0
14171,12879,1.0
14171,12942,1.0
14171,13174,1.0
14171,13205,1.0
14171,13033,1.0
14171,20182,1.0
14171,19990,1.0
14171,13154,1.0
14171,8251,1.0
14171,8100,1.0
14171,10001,1.0
14171,9480,1.0
14171,14539,1.0
14171,14680,2.0
14171,11649,1.0
14171,17323,1.0
14171,15755,1.0
14171,16428,2.0
14171,14481,1.0
14171,15833,1.0
14211,13569,1.0
14211,13676,1.0
14211,16966,3.0
14211,13930,1.0
14211,14211,3.0
14211,14142,1.0
14211,13990,1.0
14211,14101,1.0
14211,13756,1.0
14211,16787,8.0
14211,16786,3.0
14211,13892,1.0
14211,13889,3.0
14211,18136,1.0
14211,15832,1.0
14211,13679,1.0
14211,14036,2.0
14211,14019,1.0
14211,13714,1.0
14211,14172,3.0
14211,14097,6.0
14211,13934,1.0
14211,13579,2.0
14211,14125,3.0
14211,14124,3.0
14211,18011,2.0
14211,16521,2.0
14211,18011,8.0
14211,13873,4.0
14211,13597,2.0
14211,15994,2.0
14211,16959,2.0
14211,14182,6.0
14211,14048,6.0
14211,13799,5.0
14211,14047,8.0
14211,13584,3.0
14211,18010,6.0
14211,14084,6.0
14211,15641,3.0
14211,17997,4.0
14211,13342,9.0
14211,13962,2.0
14211,18021,1.0
14211,17486,1.0
14211,15367,5.0
14211,15368,3.0
